,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
605,Ariana Grande,goodnight n go,14kYOiFVPb7E7NfFbqhdln,69,0.708,0.454,1,-7.07,1,0.0395,0.0217,0.0,0.073,0.24,110.963,189507,4
606,J. Cole,ATM,2UciqgwVDwro0fev3MFbxJ,64,0.772,0.498,8,-7.661,1,0.649,0.115,0.0,0.0898,0.351,81.817,216727,4
607,Dijon,Skin,467t3218y3yihFcyDGWjr0,65,0.674,0.616,7,-3.471,1,0.0272,0.512,2.1e-06,0.331,0.551,94.934,230625,4
608,Sasha Alex Sloan,Older,3kywzyEr7V106Un5cDyh12,62,0.628,0.298,11,-9.539,1,0.0713,0.732,0.0,0.116,0.166,63.762,184893,4
609,Jason Aldean,Drowns The Whiskey (feat. Miranda Lambert),2dwoqUYTy6SOy1dFqcTndC,61,0.552,0.698,8,-4.817,1,0.0306,0.294,0.000103,0.0905,0.6,90.006,202067,4
610,Doja Cat,Go To Town,6iOvnACn4ChlAw4lWUU4dd,64,0.71,0.71,0,-2.474,1,0.0579,0.0716,1.07e-06,0.206,0.7,169.944,217813,4
611,Ice Nine Kills,A Grave Mistake,2mMNBgFRyEiRoGvrdoONeq,64,0.36,0.925,6,-3.775,0,0.0719,0.000838,0.0,0.115,0.446,175.088,184227,3
612,Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,2LNMhZ3YijTO7USmqjgJfG,64,0.794,0.448,10,-4.771,0,0.0539,0.591,0.0,0.109,0.588,120.055,231333,4
613,SHRK,I'll Bite Your Soul,71qKWIBggc7poNXclWN53M,68,0.786,0.37,6,-16.84,0,0.0695,0.768,0.373,0.139,0.18,101.966,123187,4
614,Nipsey Hussle,Hussle & Motivate,2hVtGnJeHOo0EqjzYXNFg5,62,0.836,0.779,7,-3.829,1,0.0519,0.00369,0.000173,0.58,0.555,119.908,258520,4
615,JID,Off Deez (with J. Cole),3JAeYOjyJodI4PRs44lx2l,63,0.836,0.579,9,-6.164,1,0.243,0.00207,0.0,0.11,0.431,85.486,213358,4
616,Clean Bandit,Symphony (feat. Zara Larsson),72gv4zhNvRVdQA0eOenCal,75,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956,212733,4
617,The Carters,APESHIT,0E6PsO3ymCfUh7pJQjBgkj,60,0.705,0.784,2,-6.477,1,0.271,0.0133,0.0,0.168,0.377,160.035,264853,4
618,Lil Wayne,Let It All Work Out,3BUWNzPWz2mDbptZmGEXpB,62,0.551,0.562,11,-6.862,1,0.163,0.0218,0.0,0.302,0.438,135.872,316192,4
619,Scotty McCreery,This Is It,74CEfiZthUGX5yUNNUM4bj,62,0.579,0.511,8,-6.788,1,0.0293,0.254,0.0,0.099,0.594,78.003,230973,4
620,Ski Mask The Slump God,BabyWipe,6eKWSrZfzd25TYYxkscWgg,63,0.884,0.505,1,-8.322,1,0.265,0.0257,0.0,0.307,0.582,148.042,168627,4
621,J Balvin,Mi Gente,7COfe3P7KgfwDwIRB8LIDw,71,0.548,0.704,11,-4.838,0,0.0777,0.0168,2.25e-05,0.143,0.288,104.666,185040,4
622,Princess Chelsea,I Love My Boyfriend,2IIFeudT6BVFwiwydHK4BM,65,0.615,0.514,7,-7.65,0,0.0243,0.353,0.00145,0.109,0.237,75.67,246778,4
623,Metro Boomin,No Complaints (feat. Offset & Drake) (Bonus),156LzfvMNKuXuiot4uzhGD,64,0.914,0.572,2,-8.82,1,0.166,0.0709,0.00237,0.0599,0.203,123.963,265480,4
624,Mt. Joy,Julia,0LO7f7ZJg871B8hLTRzrfB,61,0.566,0.412,5,-6.994,1,0.0267,0.681,0.017,0.0741,0.47,81.879,190453,4
625,Cardi B,I Do (feat. SZA),1f5PNhkNgUpvDEeZfcIlO1,64,0.886,0.473,7,-7.338,0,0.255,0.27,2.58e-05,0.0864,0.438,135.065,200205,4
626,Alameños de la Sierra,Perfecta,2bUDsZdvWZyIYFWluUzFe6,69,0.778,0.681,9,-3.139,1,0.0547,0.421,0.0,0.0898,0.782,76.943,281519,4
627,Kodak Black,MoshPit (feat. Juice WRLD),4KX8vXbouybtUptEyYxtIk,63,0.769,0.627,7,-4.064,1,0.262,0.394,0.0,0.106,0.49,157.938,164038,4
628,SIX,Don't Lose Ur Head,6sUQqRmOcRyAG5M3EWXzr3,66,0.859,0.605,7,-7.635,0,0.357,0.251,0.0,0.132,0.722,82.91,245303,4
629,Jacquees,You,01jIO8SJFnpSiNLH1JaBZ5,65,0.735,0.453,8,-8.264,0,0.0602,0.413,0.0,0.104,0.335,115.002,217387,4
630,Caamp,26,1N811YTtLlW8N5ie5cPamm,62,0.494,0.341,2,-12.501,1,0.0495,0.662,0.000571,0.0673,0.394,171.21,235416,4
631,Jelly Roll,Fall in the Fall,6bXSfLBuqFQtVHNLxXbqbk,60,0.71,0.779,4,-6.954,0,0.0472,0.158,0.0,0.0997,0.366,129.093,249302,4
632,Morgan Wallen,Little Rain,51T2SPBH4YjbrFJE94NJT6,61,0.491,0.835,1,-4.272,1,0.0464,0.184,0.0,0.119,0.711,185.956,207173,4
633,Good Morning,$10,3koAwrM1RO0TGMeQJ3qt9J,64,0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,89509,4
